batchId,runId,title,command,status,runType,userName,userId,projectOwnerName,projectOwnerId,projectName,projectId,runDurationSec,hardwareTier,hardwareTierCostCurrency,hardwareTierCostAmount,queuedTime,startTime,endTime,totalCostCurrency,totalCostAmount,computeClusterDetails
1642029398692,61df60abe64a6b517bb8e650,tt,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,36.783,small-k8s,USD,0,2022-01-12T23:13:47.707Z,2022-01-12T23:16:01.909Z,2022-01-12T23:16:38.692Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642029431484,61df5ab9e64a6b517bb8e614,ray_test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,1701.867,small-k8s,USD,0,2022-01-12T22:48:25.602Z,2022-01-12T22:48:49.617Z,2022-01-12T23:17:11.484Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642067009408,61dd64c9e64a6b517bb8dd77,domino-bjornr's vscode session,[vscode session ],Stopped,Workspace,domino-bjornr,61dd62e7e64a6b517bb8dd3c,domino-bjornr,61dd62e7e64a6b517bb8dd3c,quick-start,61dd62e9e64a6b517bb8dd3e,167761.373,small-k8s,USD,0,2022-01-11T11:06:49.719Z,2022-01-11T11:07:28.035Z,2022-01-13T09:43:29.408Z,USD,0,
1642084600187,61df61a5e64a6b517bb8e672,tt,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,54983.746,small-k8s,USD,0,2022-01-12T23:17:57.395Z,2022-01-12T23:20:16.441Z,2022-01-13T14:36:40.187Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642084603870,61df6184e64a6b517bb8e664,ray_test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,55135.571,small-k8s,USD,0,2022-01-12T23:17:24.152Z,2022-01-12T23:17:48.299Z,2022-01-13T14:36:43.870Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642084732090,61e0393de64a6b517bb8e69e,ray-test,"[Jupyter (Python, R, Julia) session ]",Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,15.156,small-k8s,USD,0,2022-01-13T14:37:49.929Z,2022-01-13T14:38:36.934Z,2022-01-13T14:38:52.090Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642113128122,61e039abe64a6b517bb8e6ae,ray-test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,28302.135,small-k8s,USD,0,2022-01-13T14:39:39.984Z,2022-01-13T14:40:25.987Z,2022-01-13T22:32:08.122Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642521254249,61e6df1de64a6b517bb8e6bf,ray-test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,751.033,small-k8s,USD,0,2022-01-18T15:39:09.781Z,2022-01-18T15:41:43.216Z,2022-01-18T15:54:14.249Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642604116342,61df4f58e64a6b517bb8e5bd,test,[JupyterLab session ],Stopped,Workspace,wadkars,61ae3c802044e30af371ee4b,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,579290.833,small-k8s,USD,0,2022-01-12T21:59:52.964Z,2022-01-12T22:00:25.509Z,2022-01-19T14:55:16.342Z,USD,0,
1642693488996,61e9475ae64a6b517bb8e711,domino-bjornr's RStudio session,[RStudio session ],Stopped,Workspace,domino-bjornr,61dd62e7e64a6b517bb8dd3c,domino-bjornr,61dd62e7e64a6b517bb8dd3c,quick-start,61dd62e9e64a6b517bb8dd3e,15348.358,small-k8s,USD,0,2022-01-20T11:28:26.211Z,2022-01-20T11:29:00.638Z,2022-01-20T15:44:48.996Z,USD,0,
